State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1	0.641255180222052	0.1747197752031241	0.15574255026373865	0.0133681970658692	0.0	0.0	2.6063582264192724E-4	0.013452276230577525	0.0010726482172333375	0.0	0.0	1.287369747634186E-4	0.0	0.0	0.0
2	0.06781857867535401	0.8012380073486579	0.032055737836898295	0.0	0.001865077968451255	1.903144483337306E-4	0.08501006800892189	0.0045974971638239335	0.006647117558611166	4.779914995169094E-5	0.0	1.1922466794582282E-4	2.3585381554740335E-6	4.082186348949057E-4	0.0
3	0.061395218067811064	0.03164201990932765	0.6606131512175814	0.018784704275199408	0.13194660421466795	0.054446724487065695	0.006183154962718687	0.003791859399127467	0.0	0.0	5.7507523722990344E-8	9.366056392595626E-5	1.468007059772207E-4	0.030956044689073894	0.0
4	0.01836532874503151	0.0	0.05399331711551466	0.703355762530362	0.0031848142652569213	0.0	0.0	7.76771694398562E-4	1.1864909870548802E-4	0.0	0.0	5.013896392516541E-4	0.00425944799295629	0.061669856160478286	0.15377466275804458
5	0.0	7.633841982739717E-4	0.054008496628657435	1.315743910101995E-5	0.5935199666865463	0.050152090468585736	0.0029817117113662326	0.017945095586436633	2.3415790421943143E-5	1.2109875816329442E-4	0.010860460895141422	6.118250890840629E-5	5.257868831182916E-4	0.26889588097266054	1.2827147261900747E-4
6	0.0	2.2375948529352875E-4	0.05294841129521666	0.0	0.11704323216932037	0.7064578098644352	0.0186447447543304	0.02560421562837941	1.9243218400868728E-4	0.0015078178507447165	0.010000297630701519	1.3403631210231277E-4	3.397843152718106E-4	0.06690345851019537	0.0
7	0.0	0.07942422064390367	0.005613300714035842	2.709737458705555E-5	0.0059325108736543175	0.017638871213794427	0.696935104680834	0.02883305574966044	0.14448337572781653	0.021112420361416487	4.266029748858261E-8	0.0	0.0	0.0	0.0
8	7.753585119345282E-4	6.346280549167388E-4	5.14580525069026E-4	6.503836997694225E-5	0.006608887469584413	0.0038366665874089217	0.004238574370980739	0.9399221857630704	0.023124165033701554	0.007002551493165989	0.007689675471532314	1.7310743720043694E-4	8.39183039780288E-5	0.005330662607479886	0.0
9	4.5465843456369025E-5	0.0011197617822817833	0.0	0.0	0.0	1.834165109222231E-5	0.030146254218456278	0.03264343606062887	0.9299559988657854	0.006022611732059288	0.0	2.6978943454620165E-5	0.0	0.0	2.1150902785456115E-5
10	0.0	0.0	0.0	0.0	1.6317660374912202E-4	9.001946373141579E-4	0.012667513513166325	0.026447838590528717	0.016310763586655057	0.9052036052235878	0.038253468096264	5.343974873485554E-5	0.0	0.0	0.0
11	0.0	0.0	0.0	0.0	0.002687125810126077	8.595383864180256E-4	0.0	0.005171614145723366	0.0	0.006830931436918874	0.974685107611578	5.100198807046268E-4	8.694096424942535E-8	0.009255575787566962	0.0
12	0.0	1.42567572267988E-4	3.0904457977355546E-4	3.5886094130659643E-4	2.766821077739288E-4	1.6660512314055286E-4	3.899441888625123E-5	0.0019107630576598	1.4602504728909813E-4	1.6598941161168537E-4	0.0087361466801561	0.9351282659300109	0.040845625475226285	0.007944483196864055	0.0038299464580331287
13	0.0	0.0	0.0	4.2375008125789294E-5	3.5510018515010065E-5	1.0823295403467827E-5	0.0	0.0	0.0	0.0	7.780980758520116E-6	6.716379254061371E-4	0.99682382618657	0.002408046585221058	0.0
14	0.0	0.0	2.269513615749312E-4	1.675460931565859E-4	0.004490134957527036	4.499643312461556E-4	0.0	2.696724114909534E-4	0.0	0.0	6.146650407376923E-4	2.697294087031537E-5	5.58508008902914E-4	0.9891448773077612	0.004050707546732458
15	0.0	0.0	0.0	0.004619744147470833	3.6766889767511616E-5	0.0	0.0	0.0	0.0	4.267573203325506E-6	0.0	1.9632191675661453E-4	6.2886371933351506E-6	0.05023452832877234	0.9449020825068359
