15	9	E	-5909075.514914535	113
transitionprobs	11	6	8.595383864180256E-4
transitionprobs	11	7	0.0
transitionprobs	11	8	0.005171614145723366
transitionprobs	11	9	0.0
transitionprobs	11	10	0.006830931436918874
transitionprobs	11	11	0.974685107611578
transitionprobs	11	12	5.100198807046268E-4
transitionprobs	11	13	8.694096424942535E-8
transitionprobs	11	14	0.009255575787566962
transitionprobs	11	15	0.0
transitionprobs	12	1	0.0
transitionprobs	12	2	1.42567572267988E-4
transitionprobs	12	3	3.0904457977355546E-4
transitionprobs	12	4	3.5886094130659643E-4
transitionprobs	12	5	2.766821077739288E-4
transitionprobs	12	6	1.6660512314055286E-4
transitionprobs	12	7	3.899441888625123E-5
transitionprobs	12	8	0.0019107630576598
transitionprobs	12	9	1.4602504728909813E-4
transitionprobs	12	10	1.6598941161168537E-4
transitionprobs	12	11	0.0087361466801561
transitionprobs	12	12	0.9351282659300109
transitionprobs	12	13	0.040845625475226285
transitionprobs	12	14	0.007944483196864055
transitionprobs	12	15	0.0038299464580331287
transitionprobs	13	1	0.0
transitionprobs	13	2	0.0
transitionprobs	13	3	0.0
transitionprobs	13	4	4.2375008125789294E-5
transitionprobs	13	5	3.5510018515010065E-5
transitionprobs	13	6	1.0823295403467827E-5
transitionprobs	13	7	0.0
transitionprobs	13	8	0.0
transitionprobs	13	9	0.0
transitionprobs	13	10	0.0
transitionprobs	13	11	7.780980758520116E-6
transitionprobs	13	12	6.716379254061371E-4
transitionprobs	13	13	0.99682382618657
transitionprobs	13	14	0.002408046585221058
transitionprobs	13	15	0.0
transitionprobs	14	1	0.0
transitionprobs	14	2	0.0
transitionprobs	14	3	2.269513615749312E-4
transitionprobs	14	4	1.675460931565859E-4
transitionprobs	14	5	0.004490134957527036
transitionprobs	14	6	4.499643312461556E-4
transitionprobs	14	7	0.0
transitionprobs	14	8	2.696724114909534E-4
transitionprobs	14	9	0.0
transitionprobs	14	10	0.0
transitionprobs	14	11	6.146650407376923E-4
transitionprobs	14	12	2.697294087031537E-5
transitionprobs	14	13	5.58508008902914E-4
transitionprobs	14	14	0.9891448773077612
transitionprobs	14	15	0.004050707546732458
transitionprobs	15	1	0.0
transitionprobs	15	2	0.0
transitionprobs	15	3	0.0
transitionprobs	15	4	0.004619744147470833
transitionprobs	15	5	3.6766889767511616E-5
transitionprobs	15	6	0.0
transitionprobs	15	7	0.0
transitionprobs	15	8	0.0
transitionprobs	15	9	0.0
transitionprobs	15	10	4.267573203325506E-6
transitionprobs	15	11	0.0
transitionprobs	15	12	1.9632191675661453E-4
transitionprobs	15	13	6.2886371933351506E-6
transitionprobs	15	14	0.05023452832877234
transitionprobs	15	15	0.9449020825068359
emissionprobs	1	0	H3K9ac	0	0.3133185510657008
emissionprobs	1	0	H3K9ac	1	0.6866814489342993
emissionprobs	1	1	H3k09me3	0	0.9996202393755755
emissionprobs	1	1	H3k09me3	1	3.7976062442440507E-4
emissionprobs	1	2	H3k27me3	0	1.0
emissionprobs	1	2	H3k27me3	1	1.2423499805952765E-242
emissionprobs	1	3	H3k36me3	0	0.9999319357103787
emissionprobs	1	3	H3k36me3	1	6.806428962123954E-5
emissionprobs	1	4	H3k4me2	0	0.9999999999525421
emissionprobs	1	4	H3k4me2	1	4.7457913674487486E-11
emissionprobs	1	5	H3k4me3	0	0.2341947016942381
emissionprobs	1	5	H3k4me3	1	0.7658052983057618
emissionprobs	1	6	H3k79me2	0	0.6015395202366037
emissionprobs	1	6	H3k79me2	1	0.3984604797633962
emissionprobs	1	7	H3k9me1	0	1.0
emissionprobs	1	7	H3k9me1	1	1.1197880480447367E-281
emissionprobs	1	8	H4k20me1	0	1.0
emissionprobs	1	8	H4k20me1	1	1.715216432385312E-260
emissionprobs	2	0	H3K9ac	0	0.1787260629505951
emissionprobs	2	0	H3K9ac	1	0.821273937049405
emissionprobs	2	1	H3k09me3	0	0.9988108027419385
emissionprobs	2	1	H3k09me3	1	0.0011891972580615948
emissionprobs	2	2	H3k27me3	0	0.9982404788185962
emissionprobs	2	2	H3k27me3	1	0.001759521181403748
emissionprobs	2	3	H3k36me3	0	0.9467905774240722
emissionprobs	2	3	H3k36me3	1	0.05320942257592776
emissionprobs	2	4	H3k4me2	0	0.015298896196589355
emissionprobs	2	4	H3k4me2	1	0.9847011038034106
emissionprobs	2	5	H3k4me3	0	0.0035935248366308114
emissionprobs	2	5	H3k4me3	1	0.9964064751633691
emissionprobs	2	6	H3k79me2	0	0.0476654992825805
emissionprobs	2	6	H3k79me2	1	0.9523345007174195
emissionprobs	2	7	H3k9me1	0	0.9935101212665643
emissionprobs	2	7	H3k9me1	1	0.0064898787334356405
emissionprobs	2	8	H4k20me1	0	0.9507266768347742
emissionprobs	2	8	H4k20me1	1	0.04927332316522573
emissionprobs	3	0	H3K9ac	0	0.1951627468729536
emissionprobs	3	0	H3K9ac	1	0.8048372531270465
emissionprobs	3	1	H3k09me3	0	0.9988189677618418
emissionprobs	3	1	H3k09me3	1	0.0011810322381582952
emissionprobs	3	2	H3k27me3	0	0.998714242050594
emissionprobs	3	2	H3k27me3	1	0.0012857579494059807
emissionprobs	3	3	H3k36me3	0	0.998877042309282
emissionprobs	3	3	H3k36me3	1	0.0011229576907179706
emissionprobs	3	4	H3k4me2	0	0.044596456574797785
emissionprobs	3	4	H3k4me2	1	0.9554035434252022
emissionprobs	3	5	H3k4me3	0	0.01881178356604933
emissionprobs	3	5	H3k4me3	1	0.9811882164339506
emissionprobs	3	6	H3k79me2	0	0.9676484159392513
emissionprobs	3	6	H3k79me2	1	0.03235158406074865
emissionprobs	3	7	H3k9me1	0	0.9986485107158036
emissionprobs	3	7	H3k9me1	1	0.0013514892841964556
emissionprobs	3	8	H4k20me1	0	0.999641701708706
emissionprobs	3	8	H4k20me1	1	3.5829829129408743E-4
emissionprobs	4	0	H3K9ac	0	0.9428722564341622
emissionprobs	4	0	H3K9ac	1	0.057127743565837795
emissionprobs	4	1	H3k09me3	0	0.9975068698401864
emissionprobs	4	1	H3k09me3	1	0.0024931301598134902
emissionprobs	4	2	H3k27me3	0	0.7433740880607616
emissionprobs	4	2	H3k27me3	1	0.2566259119392385
emissionprobs	4	3	H3k36me3	0	0.99892130120627
emissionprobs	4	3	H3k36me3	1	0.0010786987937300215
emissionprobs	4	4	H3k4me2	0	0.3236657367733322
emissionprobs	4	4	H3k4me2	1	0.6763342632266678
emissionprobs	4	5	H3k4me3	0	0.4647117425313235
emissionprobs	4	5	H3k4me3	1	0.5352882574686765
emissionprobs	4	6	H3k79me2	0	0.9936039244510343
emissionprobs	4	6	H3k79me2	1	0.006396075548965738
emissionprobs	4	7	H3k9me1	0	0.9978776217037826
emissionprobs	4	7	H3k9me1	1	0.002122378296217373
emissionprobs	4	8	H4k20me1	0	0.9974748145448571
emissionprobs	4	8	H4k20me1	1	0.00252518545514302
emissionprobs	5	0	H3K9ac	0	0.9282674060450349
emissionprobs	5	0	H3K9ac	1	0.07173259395496517
emissionprobs	5	1	H3k09me3	0	0.9987942592914527
emissionprobs	5	1	H3k09me3	1	0.0012057407085473207
emissionprobs	5	2	H3k27me3	0	0.9994353205332749
emissionprobs	5	2	H3k27me3	1	5.646794667250089E-4
emissionprobs	5	3	H3k36me3	0	0.994270846272614
emissionprobs	5	3	H3k36me3	1	0.005729153727386053
emissionprobs	5	4	H3k4me2	0	0.3294388026232461
emissionprobs	5	4	H3k4me2	1	0.6705611973767538
emissionprobs	5	5	H3k4me3	0	0.9676233678992675
emissionprobs	5	5	H3k4me3	1	0.03237663210073257
emissionprobs	5	6	H3k79me2	0	0.9939161140656516
emissionprobs	5	6	H3k79me2	1	0.006083885934348451
emissionprobs	5	7	H3k9me1	0	0.9922331043649002
emissionprobs	5	7	H3k9me1	1	0.007766895635099896
emissionprobs	5	8	H4k20me1	0	0.9973541064419977
emissionprobs	5	8	H4k20me1	1	0.0026458935580022124
emissionprobs	6	0	H3K9ac	0	0.17336788584660262
emissionprobs	6	0	H3K9ac	1	0.8266321141533973
emissionprobs	6	1	H3k09me3	0	0.9990295929913197
emissionprobs	6	1	H3k09me3	1	9.70407008680261E-4
emissionprobs	6	2	H3k27me3	0	0.9999686112386643
emissionprobs	6	2	H3k27me3	1	3.138876133560856E-5
emissionprobs	6	3	H3k36me3	0	0.9865384464123662
emissionprobs	6	3	H3k36me3	1	0.013461553587633759
emissionprobs	6	4	H3k4me2	0	0.18713794958860544
emissionprobs	6	4	H3k4me2	1	0.8128620504113946
emissionprobs	6	5	H3k4me3	0	0.9105032544567185
emissionprobs	6	5	H3k4me3	1	0.08949674554328144
emissionprobs	6	6	H3k79me2	0	0.9831038986311234
emissionprobs	6	6	H3k79me2	1	0.01689610136887655
emissionprobs	6	7	H3k9me1	0	0.9960953731665392
emissionprobs	6	7	H3k9me1	1	0.0039046268334607527
emissionprobs	6	8	H4k20me1	0	0.9995354430565987
emissionprobs	6	8	H4k20me1	1	4.6455694340127114E-4
emissionprobs	7	0	H3K9ac	0	0.7822637737025847
emissionprobs	7	0	H3K9ac	1	0.2177362262974153
emissionprobs	7	1	H3k09me3	0	0.9988316118480867
emissionprobs	7	1	H3k09me3	1	0.001168388151913376
emissionprobs	7	2	H3k27me3	0	0.9998277133962191
emissionprobs	7	2	H3k27me3	1	1.7228660378091368E-4
emissionprobs	7	3	H3k36me3	0	0.881441499064931
emissionprobs	7	3	H3k36me3	1	0.11855850093506906
emissionprobs	7	4	H3k4me2	0	0.22221109691780058
emissionprobs	7	4	H3k4me2	1	0.7777889030821994
emissionprobs	7	5	H3k4me3	0	0.9080033529452071
emissionprobs	7	5	H3k4me3	1	0.0919966470547929
emissionprobs	7	6	H3k79me2	0	0.15289388846852178
emissionprobs	7	6	H3k79me2	1	0.8471061115314783
emissionprobs	7	7	H3k9me1	0	0.9724016746280496
emissionprobs	7	7	H3k9me1	1	0.027598325371950495
emissionprobs	7	8	H4k20me1	0	0.9148865293579819
emissionprobs	7	8	H4k20me1	1	0.08511347064201813
emissionprobs	8	0	H3K9ac	0	0.9987115948969206
emissionprobs	8	0	H3K9ac	1	0.0012884051030793732
emissionprobs	8	1	H3k09me3	0	0.9986589058648923
emissionprobs	8	1	H3k09me3	1	0.0013410941351076962
emissionprobs	8	2	H3k27me3	0	0.9997740038972078
emissionprobs	8	2	H3k27me3	1	2.2599610279213885E-4
emissionprobs	8	3	H3k36me3	0	0.9823452170090742
emissionprobs	8	3	H3k36me3	1	0.017654782990925818
emissionprobs	8	4	H3k4me2	0	0.9960214363774239
emissionprobs	8	4	H3k4me2	1	0.00397856362257604
emissionprobs	8	5	H3k4me3	0	0.9998803998392279
emissionprobs	8	5	H3k4me3	1	1.1960016077207474E-4
emissionprobs	8	6	H3k79me2	0	0.8358393430865063
emissionprobs	8	6	H3k79me2	1	0.16416065691349369
emissionprobs	8	7	H3k9me1	0	0.9924925828991422
emissionprobs	8	7	H3k9me1	1	0.00750741710085772
emissionprobs	8	8	H4k20me1	0	0.9840404452033253
emissionprobs	8	8	H4k20me1	1	0.01595955479667465
emissionprobs	9	0	H3K9ac	0	0.9978592342404792
emissionprobs	9	0	H3K9ac	1	0.002140765759520793
emissionprobs	9	1	H3k09me3	0	0.9971538636036167
emissionprobs	9	1	H3k09me3	1	0.002846136396383306
emissionprobs	9	2	H3k27me3	0	0.9997873978163562
emissionprobs	9	2	H3k27me3	1	2.1260218364389094E-4
emissionprobs	9	3	H3k36me3	0	0.9536959782806367
emissionprobs	9	3	H3k36me3	1	0.0463040217193634
emissionprobs	9	4	H3k4me2	0	0.991810514013503
emissionprobs	9	4	H3k4me2	1	0.008189485986496986
emissionprobs	9	5	H3k4me3	0	0.9999058100196832
